E2801160600002071111A046,1,2020-01-29, 4:32:54 PM GMT-5,
E28011606000020711124407,1,2020-01-29, 4:32:54 PM GMT-5,
000000000000000010050888,1,2020-01-29, 4:32:54 PM GMT-5,
E2801160600002071111D2C6,2,2020-01-29, 4:32:53 PM GMT-5,
201100000000000026390204,1,2020-01-29, 4:32:53 PM GMT-5,
221400000000000010014023,1,2020-01-29, 4:32:55 PM GMT-5,
000000000000000010050952,2,2020-01-29, 4:32:54 PM GMT-5,
221400000000000010014002,2,2020-01-29, 4:32:54 PM GMT-5,
E200306993160191126099F4,1,2020-01-29, 4:32:53 PM GMT-5,
000000000000000010050916,1,2020-01-29, 4:32:55 PM GMT-5,
E2801160600002071111A0C7,2,2020-01-29, 4:32:53 PM GMT-5,
221400000000000010011001,1,2020-01-29, 4:32:53 PM GMT-5,
300833B2DDD9014000000555,2,2020-01-29, 4:32:53 PM GMT-5,
E2801160600002071110F4A7,1,2020-01-29, 4:32:54 PM GMT-5,
201100000000000027050105,2,2020-01-29, 4:32:53 PM GMT-5,
300833B2DDD9014000000000,11,2020-01-29, 4:32:53 PM GMT-5,
E2801160600002071111D466,2,2020-01-29, 4:32:53 PM GMT-5,
E28011606000020711113037,2,2020-01-29, 4:32:53 PM GMT-5,
000000000000000010050930,1,2020-01-29, 4:32:54 PM GMT-5,
76567BAA7BC92DE7,1,2020-01-29, 4:32:54 PM GMT-5,
E200752525140158198045FE,1,2020-01-29, 4:32:53 PM GMT-5,
201100000000000027050104,1,2020-01-29, 4:32:54 PM GMT-5,
E2003411B802011238103045,1,2020-01-29, 4:32:53 PM GMT-5,
E2801160600002071111A0E7,1,2020-01-29, 4:32:55 PM GMT-5,
2017101008725A011010025C,2,2020-01-29, 4:32:53 PM GMT-5,
000000000000000010050950,2,2020-01-29, 4:32:53 PM GMT-5,
E200322F811CFDB1130583F5,1,2020-01-29, 4:32:54 PM GMT-5,
E2801160600002071111D457,1,2020-01-29, 4:32:54 PM GMT-5,
E2004A1D682AA7B136B56A9E,2,2020-01-29, 4:32:53 PM GMT-5,
79BA52BA6788A87BEE6745D1,1,2020-01-29, 4:32:54 PM GMT-5,
E2007525251401621020AD3A,2,2020-01-29, 4:32:53 PM GMT-5,
E280116060000207111162B6,2,2020-01-29, 4:32:53 PM GMT-5,
000000000000000010050947,2,2020-01-29, 4:32:53 PM GMT-5,
201100000000000038070202,1,2020-01-29, 4:32:53 PM GMT-5,
2896A654712C028507E645D4,1,2020-01-29, 4:32:54 PM GMT-5,
E2003411B802011654355526,1,2020-01-29, 4:32:53 PM GMT-5,
59B57975210D3C324EAE5D8E,1,2020-01-29, 4:32:54 PM GMT-5,
E2007525251401621030AD3B,1,2020-01-29, 4:32:54 PM GMT-5,
000000000000000010050842,1,2020-01-29, 4:32:54 PM GMT-5,
000000000000000010050918,1,2020-01-29, 4:32:54 PM GMT-5,
